fish_size_category,protein_level_percent,feed_type,feeding_rate_percent,feeding_frequency_per_day,water_temperature_c,feeding_method,pellet_size_mm,pellet_hardness,natural_feeding_habit,stock_density_fish_per_m3,dissolved_oxygen_mgL,growth_efficiency
Adult_35g_plus,26.3,Adult_Pellet,4.2,2,30,Hand_Feeding,2.9,Soft,Omnivorous,37.5,3.6,Good
Juvenile_0.5_10g,35.6,Mash_Powder,12.5,2,29.3,Hand_Feeding,0.1,Soft,Plankton_Feeder,22.8,6.7,Good
Juvenile_10_35g,34.4,Crumbles,6.4,2,29.1,Feeding_Bag,1,Soft,Omnivorous,12.7,5.7,Poor
Juvenile_10_35g,31.5,Crumbles,5.4,2,25.3,Feeding_Bag,1.1,Medium,Omnivorous,18.6,5.3,Poor
Juvenile_0.5_10g,39.3,Mash_Powder,5.8,3,30.8,Hand_Feeding,0.1,Medium,Plankton_Feeder,41.9,7.1,Poor
Juvenile_10_35g,31.6,Crumbles,11,2,28.3,Hand_Feeding,0.9,Medium,Omnivorous,30.5,3.8,Poor
Adult_35g_plus,29.7,Adult_Pellet,3.1,2,29.1,Hand_Feeding,3.3,Soft,Omnivorous,34.2,4.8,Good
Juvenile_10_35g,33.4,Crumbles,5.3,4,31.3,Hand_Feeding,1,Soft,Omnivorous,15.4,3.5,Poor
Juvenile_10_35g,32,Crumbles,9.9,2,28.1,Feeding_Bag,0.6,Medium,Omnivorous,22.6,7.4,Good
Broodstock,30,Adult_Pellet,3.2,2,27.9,Feeding_Bag,3.9,Soft,Omnivorous,40.9,7.9,Good
Juvenile_0.5_10g,36.2,Crumbles,13.3,2,25.8,Hand_Feeding,0.9,Soft,Plankton_Feeder,20.8,7.8,Good
Juvenile_10_35g,30.7,Crumbles,9.9,4,29.4,Feeding_Bag,1.1,Soft,Omnivorous,39.4,4.5,Good
Juvenile_10_35g,33.7,Crumbles,12.1,3,32.2,Hand_Feeding,1.4,Medium,Omnivorous,44.8,3.7,Poor
Adult_35g_plus,26.4,Adult_Pellet,2.4,4,31.9,Hand_Feeding,3.9,Soft,Omnivorous,13.7,6.8,Good
Juvenile_10_35g,32.6,Crumbles,11.1,2,27.4,Feeding_Bag,0.9,Medium,Omnivorous,49.2,5,Good
Juvenile_10_35g,34.8,Crumbles,13.5,2,29.7,Hand_Feeding,0.6,Soft,Omnivorous,21.9,4.2,Good
Fry_Larvae,50,Mash_Powder,18.3,8,30.2,Hand_Feeding,0.1,Medium,Plankton_Feeder,44.9,5.6,Poor
Adult_35g_plus,26.7,Adult_Pellet,4.4,4,30,Feeding_Bag,3.3,Soft,Omnivorous,37.1,7.1,Poor
Adult_35g_plus,29.2,Adult_Pellet,4.3,4,29.7,Feeding_Bag,2.7,Soft,Omnivorous,38,3.5,Good
Juvenile_0.5_10g,38.4,Mash_Powder,8.1,4,31,Hand_Feeding,0.1,Soft,Plankton_Feeder,33.1,6.5,Good
Adult_35g_plus,28.4,Adult_Pellet,2.7,3,25.1,Hand_Feeding,3.8,Soft,Omnivorous,21.8,4.2,Good
Broodstock,30,Adult_Pellet,3,2,27.8,Feeding_Bag,3.9,Soft,Omnivorous,32,4.1,Good
Juvenile_10_35g,33.8,Crumbles,13.7,3,31.3,Hand_Feeding,1.2,Medium,Omnivorous,37.3,4.2,Poor
Adult_35g_plus,27.8,Adult_Pellet,4.3,3,27.5,Hand_Feeding,2.7,Medium,Omnivorous,16.3,7.4,Good
Juvenile_0.5_10g,37,Mash_Powder,6.9,3,29.8,Feeding_Bag,0.1,Soft,Plankton_Feeder,12.5,7.2,Good
Adult_35g_plus,26.6,Adult_Pellet,2.8,4,30.3,Feeding_Bag,3,Hard,Omnivorous,32.9,7.5,Poor
Juvenile_0.5_10g,39.7,Crumbles,5.4,2,29.8,Feeding_Bag,0.6,Medium,Plankton_Feeder,10.2,3.8,Good
Broodstock,30,Adult_Pellet,4.1,3,28.3,Hand_Feeding,3.9,Hard,Omnivorous,29,6.2,Good
Juvenile_10_35g,31.9,Juvenile_Pellet,6.1,2,31.2,Hand_Feeding,2,Medium,Omnivorous,40.7,5.1,Poor
Juvenile_0.5_10g,38.3,Mash_Powder,13.8,2,29.6,Feeding_Bag,0.1,Soft,Plankton_Feeder,40.2,3.2,Poor
Fry_Larvae,50,Mash_Powder,29.6,4,28.3,Feeding_Bag,0.1,Soft,Plankton_Feeder,21.5,4.8,Good
Juvenile_10_35g,31.3,Juvenile_Pellet,8.8,3,27.2,Hand_Feeding,1.5,Soft,Omnivorous,15,5.1,Good
Juvenile_10_35g,33,Crumbles,14.6,4,33,Feeding_Bag,1,Hard,Omnivorous,40.9,5.6,Poor
Fry_Larvae,50,Mash_Powder,27.1,5,28.5,Hand_Feeding,0.1,Soft,Plankton_Feeder,27.4,4.7,Good
Juvenile_0.5_10g,38.2,Crumbles,11.6,4,30.6,Hand_Feeding,1.1,Medium,Plankton_Feeder,45.9,6.9,Poor
Juvenile_0.5_10g,36.5,Mash_Powder,7.3,3,28.3,Hand_Feeding,0.1,Medium,Plankton_Feeder,28.9,3.3,Good
Broodstock,30,Adult_Pellet,4,3,30.1,Hand_Feeding,3.3,Soft,Omnivorous,19,4,Poor
Adult_35g_plus,27.9,Adult_Pellet,3.9,4,33,Hand_Feeding,3.7,Hard,Omnivorous,35.7,7,Poor
Adult_35g_plus,27.7,Juvenile_Pellet,4.1,2,28,Hand_Feeding,2.2,Soft,Omnivorous,15.4,7.8,Good
Juvenile_10_35g,33.4,Crumbles,13.1,3,29.9,Hand_Feeding,0.8,Soft,Omnivorous,17.2,5.3,Good
Juvenile_10_35g,34.5,Crumbles,14.9,3,22.1,Hand_Feeding,0.6,Soft,Omnivorous,35.5,5.5,Good
Juvenile_10_35g,31.1,Crumbles,6.8,3,29.5,Hand_Feeding,1.4,Medium,Omnivorous,49.2,4,Poor
Broodstock,30,Adult_Pellet,4.9,3,26.4,Feeding_Bag,3.3,Medium,Omnivorous,19.9,6.2,Good
Juvenile_10_35g,33.9,Crumbles,5.1,2,29.2,Hand_Feeding,0.5,Soft,Omnivorous,32.1,7,Good
Juvenile_0.5_10g,37.6,Crumbles,7.5,2,30.2,Hand_Feeding,0.8,Hard,Plankton_Feeder,21.6,5,Poor
Fry_Larvae,50,Mash_Powder,20.6,7,27.5,Hand_Feeding,0.1,Soft,Plankton_Feeder,11.3,3.3,Good
Juvenile_10_35g,35,Crumbles,9.2,2,26,Hand_Feeding,1.1,Hard,Omnivorous,44.7,4.4,Poor
Juvenile_10_35g,32.9,Crumbles,7.8,4,29.9,Feeding_Bag,1.3,Soft,Omnivorous,47.9,7.5,Good
Juvenile_10_35g,32.5,Crumbles,6.9,3,30.2,Hand_Feeding,1.1,Soft,Omnivorous,12.8,7.7,Good
Adult_35g_plus,29.2,Adult_Pellet,4.3,3,26.9,Feeding_Bag,3.5,Soft,Omnivorous,30.6,5.3,Good
Broodstock,30,Adult_Pellet,3.6,3,26.4,Hand_Feeding,3.3,Soft,Omnivorous,48.9,4.1,Poor
Juvenile_0.5_10g,35,Crumbles,7.2,4,28.3,Hand_Feeding,1.5,Medium,Plankton_Feeder,26.6,6.8,Good
Adult_35g_plus,26.3,Adult_Pellet,3,3,29.8,Hand_Feeding,2.7,Soft,Omnivorous,36.4,3.4,Good
Juvenile_0.5_10g,38.9,Crumbles,5.4,2,26.1,Hand_Feeding,1.5,Soft,Plankton_Feeder,48,6.2,Good
Adult_35g_plus,28.5,Adult_Pellet,3.3,4,27.1,Hand_Feeding,4,Medium,Omnivorous,46.8,6.5,Good
Juvenile_0.5_10g,39,Mash_Powder,8.5,3,27.1,Hand_Feeding,0.1,Medium,Plankton_Feeder,16.3,3.6,Good
Juvenile_10_35g,32.7,Crumbles,10.1,2,30,Hand_Feeding,1,Medium,Omnivorous,43.6,3.1,Poor
Juvenile_10_35g,31.2,Crumbles,10.5,2,27.4,Hand_Feeding,1.3,Soft,Omnivorous,27.2,4.5,Good
Broodstock,30,Adult_Pellet,2.7,4,28.5,Hand_Feeding,3.9,Medium,Omnivorous,21.6,7.4,Good
Juvenile_0.5_10g,38.1,Crumbles,14.1,3,28.6,Hand_Feeding,1.3,Soft,Plankton_Feeder,16.5,3.9,Good
Juvenile_0.5_10g,37.1,Crumbles,13.8,2,24.4,Hand_Feeding,0.9,Soft,Plankton_Feeder,27.3,6.4,Poor
Juvenile_0.5_10g,39.7,Crumbles,11.3,3,29.5,Feeding_Bag,1.2,Hard,Plankton_Feeder,41.4,6,Poor
Broodstock,30,Adult_Pellet,3.4,2,29,Feeding_Bag,2.5,Soft,Omnivorous,38.2,5.1,Good
Juvenile_0.5_10g,36,Crumbles,7.9,3,28.1,Hand_Feeding,0.8,Soft,Plankton_Feeder,15.8,6,Good
Fry_Larvae,50,Mash_Powder,25.4,5,25.8,Hand_Feeding,0.1,Soft,Plankton_Feeder,10.6,7.8,Good
Adult_35g_plus,28.1,Adult_Pellet,3.8,2,27.8,Hand_Feeding,2.9,Medium,Omnivorous,14.7,5.2,Good
Broodstock,30,Adult_Pellet,3.9,2,26.7,Hand_Feeding,3.7,Soft,Omnivorous,33.3,4.3,Good
Juvenile_0.5_10g,39.2,Mash_Powder,11.7,3,27.6,Hand_Feeding,0.1,Soft,Plankton_Feeder,10.3,5.2,Good
Broodstock,30,Adult_Pellet,3.3,2,32.4,Hand_Feeding,2.9,Medium,Omnivorous,38,4,Poor
Fry_Larvae,50,Mash_Powder,15.4,4,31.5,Hand_Feeding,0.1,Soft,Plankton_Feeder,20.8,4.2,Poor
Adult_35g_plus,28,Adult_Pellet,4.9,4,29,Hand_Feeding,2.6,Soft,Omnivorous,21.3,6.9,Good
Juvenile_0.5_10g,39.9,Mash_Powder,12.7,2,29.1,Feeding_Bag,0.1,Soft,Plankton_Feeder,33.4,5.7,Good
Adult_35g_plus,28.3,Adult_Pellet,3.9,3,30.1,Hand_Feeding,3.2,Medium,Omnivorous,31.4,3.7,Poor
Juvenile_10_35g,33.9,Crumbles,10.9,4,25.5,Hand_Feeding,0.7,Soft,Omnivorous,29.6,7.6,Good
Juvenile_10_35g,33.3,Crumbles,6.6,2,30,Feeding_Bag,0.7,Soft,Omnivorous,27.8,7,Good
Juvenile_10_35g,32.8,Crumbles,5.8,2,28.9,Feeding_Bag,1.2,Medium,Omnivorous,18.6,7,Good
Juvenile_0.5_10g,36.4,Mash_Powder,8.2,2,26.8,Feeding_Bag,0.1,Medium,Plankton_Feeder,37.1,7.2,Good
Juvenile_10_35g,33.1,Crumbles,6.8,3,30.6,Hand_Feeding,1.2,Medium,Omnivorous,29.6,5.1,Good
Juvenile_10_35g,33.9,Crumbles,8.5,4,31.9,Hand_Feeding,1,Soft,Omnivorous,24.2,3.5,Poor
Juvenile_10_35g,31.2,Crumbles,7.3,4,26.5,Feeding_Bag,0.9,Soft,Omnivorous,32.9,7.9,Good
Adult_35g_plus,28.4,Adult_Pellet,2.6,2,29.3,Hand_Feeding,3.6,Medium,Omnivorous,31.3,3.6,Good
Juvenile_0.5_10g,35.7,Crumbles,8.9,2,23.1,Hand_Feeding,0.7,Medium,Plankton_Feeder,40.9,7.8,Poor
Adult_35g_plus,28.4,Adult_Pellet,2.7,3,29.6,Feeding_Bag,3.8,Medium,Omnivorous,31.4,7.2,Good
Juvenile_10_35g,31.7,Crumbles,6.8,3,28.9,Hand_Feeding,1,Soft,Omnivorous,29.4,3.1,Good
Fry_Larvae,50,Mash_Powder,18.1,4,27.9,Feeding_Bag,0.1,Hard,Plankton_Feeder,43.9,5.7,Poor
Juvenile_10_35g,34.9,Crumbles,5.4,4,26.5,Hand_Feeding,1.4,Soft,Omnivorous,24,4.9,Good
Juvenile_10_35g,33.6,Crumbles,5.1,2,29.6,Hand_Feeding,1.2,Soft,Omnivorous,35.3,3.5,Poor
Juvenile_10_35g,32.1,Crumbles,8.5,3,25.2,Feeding_Bag,1,Medium,Omnivorous,10.6,4,Good
Adult_35g_plus,26.7,Adult_Pellet,2.8,3,24.8,Feeding_Bag,2.7,Soft,Omnivorous,33.2,6.2,Good
Adult_35g_plus,26.4,Adult_Pellet,2.7,4,33,Feeding_Bag,3,Medium,Omnivorous,44.7,6.6,Poor
Juvenile_10_35g,30.7,Crumbles,14.6,2,31.9,Hand_Feeding,1,Soft,Omnivorous,47.6,6.2,Poor
Juvenile_0.5_10g,38.5,Mash_Powder,11,3,22.6,Hand_Feeding,0.1,Soft,Plankton_Feeder,41.1,7.1,Poor
Adult_35g_plus,28.9,Adult_Pellet,2.7,2,23.8,Feeding_Bag,2.7,Soft,Omnivorous,19.7,5.8,Good
